family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17
1,46,121,36,20,75,91,52,,,,,,,,,,
1,80,22,96,110,33,34,66,112,31,,,,,,,,
1,90,71,106,70,44,3,105,61,7,5,,,,,,,
1,51,104,124,99,109,102,86,122,65,88,67,125,39,57,19,97,
1,37,38,127,129,118,32,81,24,26,1,92,98,14,59,85,89,35
1,16,21,78,,,,,,,,,,,,,,
1,114,93,18,6,116,107,41,23,64,2,128,11,,,,,
1,25,123,30,119,115,47,4,130,74,58,55,,,,,,
1,117,103,87,101,12,54,9,15,77,84,79,,,,,,
1,45,43,69,72,29,82,42,48,62,63,10,50,17,49,,,
1,94,108,131,95,73,132,13,111,28,27,120,53,100,60,,,
1,56,113,126,76,8,40,83,68,,,,,,,,,
